text_id,is_spam
143,1
179,0
147,1
157,0
168,0
276,0
39,1
275,0
267,0
207,0
55,0
144,1
196,0
286,0
56,1
76,1
250,1
263,0
14,1
217,0
156,0
122,1
249,1
291,0
170,0
237,0
295,0
44,1
38,1
239,0
107,1
158,0
117,1
85,1
109,1
132,1
172,0
189,0
26,1
138,1
72,1
29,1
62,1
282,0
75,1
48,1
78,1
166,0
130,1
234,0
177,0
47,1
178,0
12,1
2,1
227,0
19,1
90,1
67,1
293,0
11,1
52,1
266,0
270,0
9,1
71,1
73,1
80,1
238,0
58,1
18,1
7,1
128,1
228,0
220,0
105,1
182,0
83,1
197,0
95,1
49,1
254,0
204,0
190,0
96,1
287,0
203,0
224,0
136,1
258,0
259,0
17,1
222,0
70,1
261,0
209,0
200,0
229,0
101,1
161,0
